Title,Company,Location,Category,Created,Description,URL
AI Intern- Software Engineering,Maximus,"Flushing, Queens",IT Jobs,2025-03-15T01:38:42Z,"Description & Requirements Position Overview : We are seeking a highly motivated AI Intern to join our team. The ideal candidate will have a strong background in data analysis, proficiency in programming languages, and experience with AI technologies. This role offers the opportunity to work on real world projects, collaborate with industry experts, and contribute to the development of innovative AI solutions. Essential Duties and Responsibilities: - Work on IT assignments of moderate difficult…",https://www.adzuna.com/land/ad/5094722412?se=kDYS_6wQ8BGvcpUxT3cHCQ&utm_medium=api&utm_source=17ef27d3&v=0CF225C3FD237011E86BBD4442EDC750B3B14BCF
AI Intern- Software Engineering,Maximus,"New York City, New York",IT Jobs,2025-03-15T01:38:44Z,"Description & Requirements Position Overview : We are seeking a highly motivated AI Intern to join our team. The ideal candidate will have a strong background in data analysis, proficiency in programming languages, and experience with AI technologies. This role offers the opportunity to work on real world projects, collaborate with industry experts, and contribute to the development of innovative AI solutions. Essential Duties and Responsibilities: - Work on IT assignments of moderate difficult…",https://www.adzuna.com/land/ad/5094722661?se=kDYS_6wQ8BGvcpUxT3cHCQ&utm_medium=api&utm_source=17ef27d3&v=861175FABBCD8FC448E181A672D98A62B205C81D
AI Intern- Software Engineering,Maximus,"Jersey City, Hudson County",IT Jobs,2025-03-15T01:38:44Z,"Description & Requirements Position Overview : We are seeking a highly motivated AI Intern to join our team. The ideal candidate will have a strong background in data analysis, proficiency in programming languages, and experience with AI technologies. This role offers the opportunity to work on real world projects, collaborate with industry experts, and contribute to the development of innovative AI solutions. Essential Duties and Responsibilities: - Work on IT assignments of moderate difficult…",https://www.adzuna.com/land/ad/5094722653?se=kDYS_6wQ8BGvcpUxT3cHCQ&utm_medium=api&utm_source=17ef27d3&v=C6F1371A2000461F7A9B2AB9669D4E5BDA21649F
Political Consulting Intern,Elevation Strategies,"Manhattan, New York City","PR, Advertising & Marketing Jobs",2024-11-13T12:35:26Z,"Are you looking for an internship opportunity that will give you a deep understanding of New York City Politics, and help you start your political career? If so, the Elevation Strategies Political Consulting Internship is for you Elevation Strategies is a minority owned up and coming political firm that supports progressive candidates in New York City. We offer technical support to candidates in all five boroughs and in every level of local government through social media, field voter outreach,…",https://www.adzuna.com/details/4937759055?utm_medium=api&utm_source=17ef27d3
Product Manager Intern,Kinetik,"Queens, New York City",IT Jobs,2025-03-31T22:25:52Z,"Kinetik is a high-growth healthcare technology company reshaping the severely fragmented healthcare transportation industry. We equip health insurances, brokers, and providers with our suite of products and solutions that are proven to increase efficiency, transparency, and interoperability. About the Product Manager Intern Role: We are seeking a driven and analytical Product Manager Intern to join our product team this summer. As a Product Manager Intern, this person will have the opportunity …",https://www.adzuna.com/details/5120685618?utm_medium=api&utm_source=17ef27d3
Political Consulting Internship,"The Advance Group, Inc.","Bronx, New York City",Admin Jobs,2025-03-25T13:26:52Z,"The Advance Group’s internship program is a unique opportunity to learn about consulting and political campaigns from the ground up. Interns who prove themselves through their work at The Advance Group will have the opportunity to interact directly with clients and will gain invaluable experience and long-term relationships in the business. Our interns have gone on to work for elected officials, think tanks, the media and government agencies. For those that are able to participate in person, we…",https://www.adzuna.com/land/ad/5110703153?se=4onfCa0Q8BGcNnilB7aCew&utm_medium=api&utm_source=17ef27d3&v=02083A24B6C3A1EB75E57E9DACA85B89DBC25510
Political Consulting Internship,"The Advance Group, Inc.","New York City, New York",Admin Jobs,2025-03-18T08:09:11Z,"The Advance Group’s internship program is a unique opportunity to learn about consulting and political campaigns from the ground up. Interns who prove themselves through their work at The Advance Group will have the opportunity to interact directly with clients and will gain invaluable experience and long-term relationships in the business. Our interns have gone on to work for elected officials, think tanks, the media and government agencies. For those that are able to participate in person, we…",https://www.adzuna.com/land/ad/5098703354?se=4onfCa0Q8BGcNnilB7aCew&utm_medium=api&utm_source=17ef27d3&v=35F6E80202E07B882B0D336EB75A557C74EDFC8D
Political Consulting Internship,"The Advance Group, Inc.","Jersey City, Hudson County",Admin Jobs,2024-03-22T16:54:04Z,"The Advance Group’s internship program is a unique opportunity to learn about consulting and political campaigns from the ground up. Interns who prove themselves through their work at The Advance Group will have the opportunity to interact directly with clients and will gain invaluable experience and long-term relationships in the business. Our interns have gone on to work for elected officials, think tanks, the media and government agencies. For those that are able to participate in person, we…",https://www.adzuna.com/land/ad/4620620794?se=4onfCa0Q8BGcNnilB7aCew&utm_medium=api&utm_source=17ef27d3&v=66B4B3E7642826E6907D038F6572169B49DD47D4
2025 Summer Internship - Software Developer (DV Energy),DV Trading,"New York City, New York",IT Jobs,2025-03-24T13:29:34Z,"Job Description Job Description About Us : Founded more than 15 years ago and headquartered in Chicago, the DV Group of financial services firms has grown to more than 450 people operating throughout North America and in Europe. Since spinning out of a large brokerage firm in 2016, DV Trading has rapidly scaled as an independent proprietary trading firm utilizing its own capital, trading strategies, and risk management methodologies to provide liquidity to worldwide financial markets and hedgin…",https://www.adzuna.com/land/ad/5108975353?se=4onfCa0Q8BGcNnilB7aCew&utm_medium=api&utm_source=17ef27d3&v=B4CA6A78CC534E7481A13CE75819A756D0D823B4
Market Access Consulting Internship,Precision Medicine Group,"Grand Central, Manhattan",Consultancy Jobs,2025-01-26T17:02:34Z,"Market Access Consulting Internship at Precision Medicine Group (View all jobs) New York, NY, USA Precision AQ is an award-winning global healthcare market access consultancy. We provide our clients with unified health economics and outcomes research, global pricing, access strategy and analytics, payer and physician pull-through, and data management. We provide powerful strategic thinking and research skills to positively impact payer and purchaser decision-making, which allows organizations t…",https://www.adzuna.com/land/ad/5024997138?se=4onfCa0Q8BGcNnilB7aCew&utm_medium=api&utm_source=17ef27d3&v=12007A561E1004322F8FCA04322A06670991C6DC
